"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;102
Midtjylland;0-9;20
Nordjylland;0-9;6
Sjælland;0-9;17
Syddanmark;0-9;20
;10-19;0
Hovedstaden;10-19;82
Midtjylland;10-19;24
Nordjylland;10-19;8
Sjælland;10-19;35
Syddanmark;10-19;16
;20-29;10
Hovedstaden;20-29;261
Midtjylland;20-29;72
Nordjylland;20-29;34
Sjælland;20-29;72
Syddanmark;20-29;63
;30-39;20
Hovedstaden;30-39;433
Midtjylland;30-39;107
Nordjylland;30-39;37
Sjælland;30-39;105
Syddanmark;30-39;85
;40-49;27
Hovedstaden;40-49;561
Midtjylland;40-49;172
Nordjylland;40-49;62
Sjælland;40-49;208
Syddanmark;40-49;133
;50-59;36
Hovedstaden;50-59;872
Midtjylland;50-59;325
Nordjylland;50-59;101
Sjælland;50-59;309
Syddanmark;50-59;217
;60-69;22
Hovedstaden;60-69;925
Midtjylland;60-69;312
Nordjylland;60-69;133
Sjælland;60-69;363
Syddanmark;60-69;257
;70-79;10
Hovedstaden;70-79;1397
Midtjylland;70-79;432
Nordjylland;70-79;215
Sjælland;70-79;522
Syddanmark;70-79;326
;80-89;5
Hovedstaden;80-89;1246
Midtjylland;80-89;307
Nordjylland;80-89;173
Sjælland;80-89;443
Syddanmark;80-89;261
;90+;0
Hovedstaden;90+;382
Midtjylland;90+;77
Nordjylland;90+;38
Sjælland;90+;129
Syddanmark;90+;59
