"Meldejahr";"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl"
"2020";"05";"'05-09";0;0
"2020";"05";"'10-14";0;0
"2020";"05";"00-04";0,16;1
"2020";"05";"15-19";0;0
"2020";"05";"20-34";0,12;3
"2020";"05";"35-59";0,06;3
"2020";"05";"60-79";0;0
"2020";"05";"80+";0;0
"2020";"05";"Gesamt";0,05;7
"2020";"06";"'05-09";0,17;1
"2020";"06";"'10-14";0;0
"2020";"06";"00-04";0,16;1
"2020";"06";"15-19";0;0
"2020";"06";"20-34";0,12;3
"2020";"06";"35-59";0,06;3
"2020";"06";"60-79";0;0
"2020";"06";"80+";0;0
"2020";"06";"Gesamt";0,06;8
"2020";"07";"'05-09";0;0
"2020";"07";"'10-14";0;0
"2020";"07";"00-04";0,16;1
"2020";"07";"15-19";0;0
"2020";"07";"20-34";0;0
"2020";"07";"35-59";0,04;2
"2020";"07";"60-79";0;0
"2020";"07";"80+";0;0
"2020";"07";"Gesamt";0,02;3
"2020";"09";"'05-09";0;0
"2020";"09";"'10-14";0;0
"2020";"09";"00-04";0;0
"2020";"09";"15-19";0;0
"2020";"09";"20-34";0,08;2
"2020";"09";"35-59";0,13;6
"2020";"09";"60-79";0,04;1
"2020";"09";"80+";0;0
"2020";"09";"Gesamt";0,07;9
"2020";"10";"'05-09";0,51;3
"2020";"10";"'10-14";1,04;6
"2020";"10";"00-04";0,16;1
"2020";"10";"15-19";1,12;7
"2020";"10";"20-34";0,88;22
"2020";"10";"35-59";1,83;85
"2020";"10";"60-79";0,29;8
"2020";"10";"80+";0,36;3
"2020";"10";"Gesamt";1,03;135
"2020";"11";"'05-09";3,76;22
"2020";"11";"'10-14";8,33;48
"2020";"11";"00-04";0,47;3
"2020";"11";"15-19";8;50
"2020";"11";"20-34";9,41;236
"2020";"11";"35-59";11,93;553
"2020";"11";"60-79";5,25;143
"2020";"11";"80+";4,81;40
"2020";"11";"Gesamt";8,34;1095
"2020";"12";"'05-09";9,24;54
"2020";"12";"'10-14";11,98;69
"2020";"12";"00-04";7,83;50
"2020";"12";"15-19";22,24;139
"2020";"12";"20-34";46,83;1175
"2020";"12";"35-59";50,86;2358
"2020";"12";"60-79";28,46;775
"2020";"12";"80+";25,86;215
"2020";"12";"Gesamt";36,86;4838
"2020";"13";"'05-09";16,25;95
"2020";"13";"'10-14";21,87;126
"2020";"13";"00-04";14,56;93
"2020";"13";"15-19";54,56;341
"2020";"13";"20-34";81,5;2045
"2020";"13";"35-59";86,08;3991
"2020";"13";"60-79";65,63;1787
"2020";"13";"80+";91,52;761
"2020";"13";"Gesamt";70,4;9240
"2020";"14";"'05-09";18,98;111
"2020";"14";"'10-14";27,6;159
"2020";"14";"00-04";18;115
"2020";"14";"15-19";56,96;356
"2020";"14";"20-34";85,88;2155
"2020";"14";"35-59";93,44;4332
"2020";"14";"60-79";86,3;2350
"2020";"14";"80+";150,45;1251
"2020";"14";"Gesamt";82,55;10834
"2020";"15";"'05-09";13,34;78
"2020";"15";"'10-14";15,62;90
"2020";"15";"00-04";10,96;70
"2020";"15";"15-19";41,76;261
"2020";"15";"20-34";60,9;1528
"2020";"15";"35-59";62,96;2919
"2020";"15";"60-79";58,43;1591
"2020";"15";"80+";133,25;1108
"2020";"15";"Gesamt";58,27;7648
"2020";"16";"'05-09";8,89;52
"2020";"16";"'10-14";14,41;83
"2020";"16";"00-04";7,36;47
"2020";"16";"15-19";26,56;166
"2020";"16";"20-34";36,78;923
"2020";"16";"35-59";37,03;1717
"2020";"16";"60-79";32,21;877
"2020";"16";"80+";102,59;853
"2020";"16";"Gesamt";35,98;4722
"2020";"17";"'05-09";5,47;32
"2020";"17";"'10-14";7,81;45
"2020";"17";"00-04";8,45;54
"2020";"17";"15-19";15,52;97
"2020";"17";"20-34";30,49;765
"2020";"17";"35-59";22,32;1035
"2020";"17";"60-79";19,43;529
"2020";"17";"80+";66,39;552
"2020";"17";"Gesamt";23,74;3116
