"Meldewoche";"Altersgruppen.Inz";"Inzidenz";"Anzahl"
6;"'05-09";0;0
6;"'10-14";0;0
6;"00-04";0,156509218392963;1
6;"15-19";0;0
6;"20-34";0,0797060441093248;2
6;"35-59";0,0647067007023912;3
6;"60-79";0;0
6;"80+";0;0
6;"Gesamt";0,0457152017598524;6
7;"'05-09";0;0
7;"'10-14";0;0
7;"00-04";0,156509218392963;1
7;"15-19";0;0
7;"20-34";0;0
7;"35-59";0,0431378004682608;2
7;"60-79";0;0
7;"80+";0;0
7;"Gesamt";0,0228576008799262;3
9;"'05-09";0;0
9;"'10-14";0;0
9;"00-04";0;0
9;"15-19";0;0
9;"20-34";0,0797060441093248;2
9;"35-59";0,129413401404782;6
9;"60-79";0,036724417036604;1
9;"80+";0;0
9;"Gesamt";0,0685728026397786;9
10;"'05-09";0,51310557147133;3
10;"'10-14";0,867861190809697;5
10;"00-04";0,156509218392963;1
10;"15-19";0,960023040552973;6
10;"20-34";0,916619507257235;23
10;"35-59";1,81178761966695;84
10;"60-79";0,257070919256228;7
10;"80+";0,360794180149345;3
10;"Gesamt";1,00573443871675;132
11;"'05-09";3,76277419078975;22
11;"'10-14";8,50503966993503;49
11;"00-04";0,626036873571853;4
11;"15-19";8,4802035248846;53
11;"20-34";9,48501924900965;238
11;"35-59";12,0354463306448;558
11;"60-79";5,25159163623437;143
11;"80+";4,69032434194148;39
11;"Gesamt";8,42683552439946;1106
12;"'05-09";9,40693547697439;55
12;"'10-14";11,8029121950119;68
12;"00-04";7,35593326446928;47
12;"15-19";21,7605222525341;136
12;"20-34";46,867153936283;1176
12;"35-59";51,0104490537184;2365
12;"60-79";28,9388406248439;788
12;"80+";25,6163867906035;213
12;"Gesamt";36,9378830219607;4848
13;"'05-09";16,590413477573;97
13;"'10-14";21,8701020084044;126
13;"00-04";13,7728112185808;88
13;"15-19";53,6012864308743;335
13;"20-34";81,4197240576753;2043
13;"35-59";86,5344277393312;4012
13;"60-79";65,9203285807041;1795
13;"80+";91,4011923045007;760
13;"Gesamt";70,5233179148657;9256
14;"'05-09";19,1559413349297;112
14;"'10-14";27,9451303440722;161
14;"00-04";17,216014023226;110
14;"15-19";57,7613862732706;361
14;"20-34";87,2781182997107;2190
14;"35-59";94,0188361205745;4359
14;"60-79";86,6696242063854;2360
14;"80+";150,932232029143;1255
14;"Gesamt";83,1102367994117;10908
15;"'05-09";13,511780048745;79
15;"'10-14";15,1007847200887;87
15;"00-04";10,9556452875074;70
15;"15-19";41,6009984239622;260
15;"20-34";60,1382102804856;1509
15;"35-59";62,6360862799147;2904
15;"60-79";58,7223428415297;1599
15;"80+";132,531728841526;1102
15;"Gesamt";57,9897334323728;7611
16;"'05-09";8,38072433403173;49
16;"'10-14";14,406495767441;83
16;"00-04";7,51244248286224;48
16;"15-19";26,4006336152068;165
16;"20-34";37,063310510836;930
16;"35-59";36,9906639015337;1715
16;"60-79";32,7949044136873;893
