"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Region Midtjylland"
2020-W13;2;0;;;
2020-W15;45;1;3;;
2020-W16;34;0;;1;
2020-W17;2597;780;1891;597;217
2020-W18;5606;2640;2010;2172;2585
2020-W19;5405;2537;1512;2796;2996
2020-W20;3732;2165;1356;1958;2068
2020-W21;9385;2614;3813;4150;4962
2020-W22;13189;3234;6321;6235;6758
2020-W23;13619;1346;4617;3296;3494
2020-W24;17265;1816;4585;3294;4141
2020-W25;19318;6832;5509;3789;4834
2020-W26;18898;7931;5905;4526;7055
2020-W27;17890;9037;4848;5402;7688
2020-W28;18336;6723;5376;5645;7553
2020-W29;21728;5487;6496;6876;9422
2020-W30;24831;6141;7427;8232;11554
2020-W31;31313;8564;10394;10428;15105
2020-W32;33345;10277;14752;13477;25994
2020-W33;35044;12003;13600;17406;49571
2020-W34;38675;12354;15377;19411;44488
2020-W35;38756;9893;12924;17664;39019
2020-W36;47159;10973;13634;21391;34158
2020-W37;70935;16203;23650;40742;37116
2020-W38;99708;25866;28577;32799;31490
2020-W39;96873;26491;29780;31445;30555
2020-W40;81805;18440;31035;30460;37065
2020-W41;81674;21062;29267;29106;43055
2020-W42;65352;16640;20941;29410;37831
2020-W43;97238;29336;31404;42846;57144
2020-W44;130779;44195;42192;65277;78697
2020-W45;141206;56286;46943;56447;67017
2020-W46;138098;88245;45909;55937;70131
2020-W47;126219;90462;46224;57117;71552
2020-W48;129079;39703;44617;60370;96419
2020-W49;161829;26637;58305;64824;93981
2020-W50;202648;43294;71394;78242;114999
2020-W51;245845;67851;92285;119609;139287
2020-W52;199166;51560;68267;91625;92284
2020-W53;156456;50863;58680;80107;74806
2021-W01;145989;53572;72619;90928;74985
2021-W02;158504;57289;71534;97940;113285
2021-W03;189269;73138;94345;135644;139563
2021-W04;196254;78672;97942;148165;146109
2021-W05;208813;80600;99198;149872;150458
2021-W06;215735;82555;100953;155853;151645
2021-W07;229813;84901;106300;165976;154762
2021-W08;268501;97382;117492;199716;173321
2021-W09;283376;103580;131522;209983;202481
2021-W10;288470;103228;136748;219499;210155
2021-W11;293886;114943;141158;237664;229174
