"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Midtjylland";"Region Syddanmark"
2020-W15;43;1;2;;
2020-W16;5;0;;;
2020-W17;2575;780;1884;217;597
2020-W18;5574;2638;2009;2582;2173
2020-W19;5387;2537;1510;2995;2794
2020-W20;3722;2166;1354;2068;1958
2020-W21;9339;2608;3808;4956;4147
2020-W22;9332;2612;5033;5494;5104
2020-W23;9575;865;3020;2304;2205
2020-W24;24212;2760;7404;6566;5497
2020-W25;18775;6451;5494;4825;3791
2020-W26;18833;7917;5900;7055;4526
2020-W27;17813;9028;4844;7687;5404
2020-W28;18362;6720;5375;7548;5640
2020-W29;21568;5477;6491;9415;6872
2020-W30;24666;6123;7425;11550;8230
2020-W31;31101;8558;10387;15094;10419
2020-W32;33214;10269;14746;25987;13474
2020-W33;34983;11924;13601;49554;17410
2020-W34;38692;12422;15380;44499;19405
2020-W35;38767;9893;12926;39036;17675
2020-W36;47160;10973;13633;34150;21390
2020-W37;70938;16203;23653;37124;40747
2020-W38;99715;25866;28579;31495;32801
2020-W39;96871;26491;29781;30555;31445
2020-W40;81807;18440;31036;37067;30461
2020-W41;81676;21063;29267;43056;29104
2020-W42;65351;16640;20941;37832;29411
2020-W43;97235;29336;31403;57144;42846
2020-W44;130780;44196;42192;78697;65277
2020-W45;141210;56285;46943;67017;56447
2020-W46;138096;88245;45909;70132;55939
2020-W47;126221;90462;46221;71553;57115
2020-W48;129079;39702;44617;96420;60369
2020-W49;161833;26637;58307;93980;64822
2020-W50;202655;43293;71394;114998;78244
2020-W51;245849;67852;92286;139287;119607
2020-W52;199177;51561;68268;92283;91624
2020-W53;156461;50862;58680;74808;80107
2021-W01;145993;53575;72624;74987;90925
2021-W02;158504;57289;71534;113286;97934
2021-W03;189260;73138;94348;139556;135644
2021-W04;196248;78674;97939;146111;148162
2021-W05;208813;80601;99199;150458;149867
2021-W06;215738;82551;100957;151647;155850
2021-W07;229780;84896;106299;154742;165963
2021-W08;268475;97377;117477;173280;199691
2021-W09;283231;103527;131464;202321;209915
