"uge";"Region Hovedstaden";"Region Nordjylland";"Region Sjælland";"Region Midtjylland";"Region Syddanmark"
2020-W15;43;1;2;;
2020-W16;5;0;;;
2020-W17;2575;780;1884;217;597
2020-W18;5574;2638;2009;2582;2173
2020-W19;5387;2537;1510;2995;2794
2020-W20;3722;2166;1354;2068;1958
2020-W21;9339;2608;3808;4956;4147
2020-W22;9332;2612;5033;5494;5104
2020-W23;9575;865;3020;2304;2205
2020-W24;24212;2760;7404;6566;5497
2020-W25;18773;6451;5494;4825;3791
2020-W26;18833;7917;5900;7055;4526
2020-W27;17814;9028;4844;7687;5404
2020-W28;18362;6720;5375;7548;5640
2020-W29;21568;5477;6491;9415;6872
2020-W30;24667;6123;7424;11550;8230
2020-W31;31101;8558;10387;15094;10419
2020-W32;33214;10269;14746;25986;13474
2020-W33;34983;11924;13601;49555;17410
2020-W34;38692;12422;15380;44499;19405
2020-W35;38765;9893;12926;39036;17675
2020-W36;47160;10973;13633;34149;21390
2020-W37;70939;16203;23653;37122;40746
2020-W38;99715;25866;28578;31495;32802
2020-W39;96871;26491;29780;30555;31445
2020-W40;81805;18440;31035;37065;30461
2020-W41;81675;21062;29267;43056;29104
2020-W42;65351;16640;20941;37831;29411
2020-W43;97235;29336;31403;57144;42846
2020-W44;130780;44195;42191;78698;65277
2020-W45;141208;56285;46943;67017;56447
2020-W46;138096;88245;45909;70131;55938
2020-W47;126220;90463;46221;71552;57116
2020-W48;129079;39702;44617;96419;60369
2020-W49;161830;26637;58306;93980;64822
2020-W50;202652;43294;71393;114998;78244
2020-W51;245842;67853;92287;139286;119607
2020-W52;199171;51561;68268;92281;91625
2020-W53;156462;50862;58679;74805;80106
2021-W01;145991;53575;72619;74986;90928
2021-W02;158501;57290;71531;113285;97935
2021-W03;189260;73138;94346;139554;135646
2021-W04;196251;78672;97940;146110;148163
2021-W05;208813;80600;99198;150458;149867
2021-W06;215742;82552;100951;151646;155849
2021-W07;229783;84898;106296;154738;165966
2021-W08;268477;97375;117476;173285;199687
2021-W09;283266;103546;131488;202357;209940
2021-W10;288350;103134;136671;209997;219455
